name,official_name,slug,lga_key,lga,planning_region,zone,priority,page_status,index_recommendation,latitude,longitude,estimated_cbd_distance_km,nearby_areas,regional_anchors,property_profile,local_context,service_notes
Abbotsford,ABBOTSFORD,abbotsford,YARRA,Yarra City,Inner Metropolitan,Central & Inner,1,launch,True,-37.80437,144.99971,3.4,Collingwood | Clifton Hill | Richmond,Yarra River | Merri Creek | Brunswick Street and Smith Street corridors,established suburban and infill housing,"Abbotsford is an inner-Melbourne location with dense streets, mixed residential forms and strong tram or rail access, close to Collingwood, Clifton Hill, Richmond. The broader catchment is shaped by Yarra River, Merri Creek, Brunswick Street and Smith Street corridors. The local job mix commonly includes Victorian terraces, warehouse conversions and newer infill apartments.","Confirm loading, visitor parking, lift dimensions and owners-corporation booking rules before dispatch."
Carlton,CARLTON,carlton,MELBOURNE,Melbourne City,Inner Metropolitan,Central & Inner,1,launch,True,-37.80044,144.96815,1.5,Fitzroy | Carlton North | Collingwood,Melbourne CBD | Docklands | Royal Park,established suburban and infill housing,"Carlton is an inner-Melbourne location with dense streets, mixed residential forms and strong tram or rail access, close to Fitzroy, Carlton North, Collingwood. The broader catchment is shaped by Melbourne CBD, Docklands, Royal Park. The local job mix commonly includes apartments, converted warehouses and compact terraces, often with owners-corporation access rules.","Confirm loading, visitor parking, lift dimensions and owners-corporation booking rules before dispatch."
Collingwood,COLLINGWOOD,collingwood,YARRA,Yarra City,Inner Metropolitan,Central & Inner,1,launch,True,-37.80194,144.98817,2.6,Fitzroy | Abbotsford | East Melbourne,Yarra River | Merri Creek | Brunswick Street and Smith Street corridors,established suburban and infill housing,"Collingwood is an inner-Melbourne location with dense streets, mixed residential forms and strong tram or rail access, close to Fitzroy, Abbotsford, East Melbourne. The broader catchment is shaped by Yarra River, Merri Creek, Brunswick Street and Smith Street corridors. The local job mix commonly includes Victorian terraces, warehouse conversions and newer infill apartments.","Confirm loading, visitor parking, lift dimensions and owners-corporation booking rules before dispatch."
Docklands,DOCKLANDS,docklands,MELBOURNE,Melbourne City,Inner Metropolitan,Central & Inner,1,launch,True,-37.81846,144.94321,1.8,South Wharf | West Melbourne | Southbank,Melbourne CBD | Docklands | Royal Park,established suburban and infill housing,"Docklands is an inner-Melbourne location with dense streets, mixed residential forms and strong tram or rail access, close to South Wharf, West Melbourne, Southbank. The broader catchment is shaped by Melbourne CBD, Docklands, Royal Park. The local job mix commonly includes apartments, converted warehouses and compact terraces, often with owners-corporation access rules.","Confirm loading, visitor parking, lift dimensions and owners-corporation booking rules before dispatch."
Fitzroy,FITZROY,fitzroy,YARRA,Yarra City,Inner Metropolitan,Central & Inner,1,launch,True,-37.8009,144.97916,2.0,Collingwood | Carlton | East Melbourne,Yarra River | Merri Creek | Brunswick Street and Smith Street corridors,established suburban and infill housing,"Fitzroy is an inner-Melbourne location with dense streets, mixed residential forms and strong tram or rail access, close to Collingwood, Carlton, East Melbourne. The broader catchment is shaped by Yarra River, Merri Creek, Brunswick Street and Smith Street corridors. The local job mix commonly includes Victorian terraces, warehouse conversions and newer infill apartments.","Confirm loading, visitor parking, lift dimensions and owners-corporation booking rules before dispatch."
Melbourne,MELBOURNE,melbourne,MELBOURNE,Melbourne City,Inner Metropolitan,Central & Inner,1,launch,True,-37.82504,144.97151,1.5,Southbank | East Melbourne | South Melbourne,Melbourne CBD | Docklands | Royal Park,established suburban and infill housing,"Melbourne is an inner-Melbourne location with dense streets, mixed residential forms and strong tram or rail access, close to Southbank, East Melbourne, South Melbourne. The broader catchment is shaped by Melbourne CBD, Docklands, Royal Park. The local job mix commonly includes apartments, converted warehouses and compact terraces, often with owners-corporation access rules.","Confirm loading, visitor parking, lift dimensions and owners-corporation booking rules before dispatch."
Port Melbourne,PORT MELBOURNE,port-melbourne,PORT PHILLIP,Port Phillip City,Inner Metropolitan,Central & Inner,1,launch,True,-37.83292,144.92187,4.2,Docklands | West Melbourne | South Wharf,Port Phillip Bay foreshore | Albert Park | St Kilda Road corridor,established suburban and infill housing,"Port Melbourne is an inner-Melbourne location with dense streets, mixed residential forms and strong tram or rail access, close to Docklands, West Melbourne, South Wharf. The broader catchment is shaped by Port Phillip Bay foreshore, Albert Park, St Kilda Road corridor. The local job mix commonly includes apartments, Victorian terraces and renovated bayside homes.","Confirm loading, visitor parking, lift dimensions and owners-corporation booking rules before dispatch."
Richmond,RICHMOND,richmond,YARRA,Yarra City,Inner Metropolitan,Central & Inner,1,launch,True,-37.82032,145.00246,3.5,Cremorne | Burnley | Abbotsford,Yarra River | Merri Creek | Brunswick Street and Smith Street corridors,established suburban and infill housing,"Richmond is an inner-Melbourne location with dense streets, mixed residential forms and strong tram or rail access, close to Cremorne, Burnley, Abbotsford. The broader catchment is shaped by Yarra River, Merri Creek, Brunswick Street and Smith Street corridors. The local job mix commonly includes Victorian terraces, warehouse conversions and newer infill apartments.","Confirm loading, visitor parking, lift dimensions and owners-corporation booking rules before dispatch."
Southbank,SOUTHBANK,southbank,MELBOURNE,Melbourne City,Inner Metropolitan,Central & Inner,1,launch,True,-37.82586,144.96228,1.4,Melbourne | South Wharf | South Melbourne,Melbourne CBD | Docklands | Royal Park,established suburban and infill housing,"Southbank is an inner-Melbourne location with dense streets, mixed residential forms and strong tram or rail access, close to Melbourne, South Wharf, South Melbourne. The broader catchment is shaped by Melbourne CBD, Docklands, Royal Park. The local job mix commonly includes apartments, converted warehouses and compact terraces, often with owners-corporation access rules.","Confirm loading, visitor parking, lift dimensions and owners-corporation booking rules before dispatch."
St Kilda,ST KILDA,st-kilda,PORT PHILLIP,Port Phillip City,Inner Metropolitan,Central & Inner,1,launch,True,-37.86369,144.9818,5.8,St Kilda West | Balaclava | Elwood,Port Phillip Bay foreshore | Albert Park | St Kilda Road corridor,established suburban and infill housing,"St Kilda is an inner-Melbourne location with dense streets, mixed residential forms and strong tram or rail access, close to St Kilda West, Balaclava, Elwood. The broader catchment is shaped by Port Phillip Bay foreshore, Albert Park, St Kilda Road corridor. The local job mix commonly includes apartments, Victorian terraces and renovated bayside homes.","Confirm loading, visitor parking, lift dimensions and owners-corporation booking rules before dispatch."
Bayswater,BAYSWATER,bayswater,KNOX,Knox City,Eastern,East & Dandenong Ranges,1,launch,True,-37.84518,145.26476,26.7,Boronia | Heathmont | Bayswater North,Dandenong Creek | Burwood Highway | Dandenong Ranges foothills,established suburban and infill housing,"Bayswater is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Boronia, Heathmont, Bayswater North. The broader catchment is shaped by Dandenong Creek, Burwood Highway, Dandenong Ranges foothills. The local job mix commonly includes post-war family homes, split-level houses and townhouse infill near the foothills.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Boronia,BORONIA,boronia,KNOX,Knox City,Eastern,East & Dandenong Ranges,1,launch,True,-37.85619,145.28602,28.8,Bayswater | The Basin | Ferntree Gully,Dandenong Creek | Burwood Highway | Dandenong Ranges foothills,established suburban and infill housing,"Boronia is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Bayswater, The Basin, Ferntree Gully. The broader catchment is shaped by Dandenong Creek, Burwood Highway, Dandenong Ranges foothills. The local job mix commonly includes post-war family homes, split-level houses and townhouse infill near the foothills.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Croydon,CROYDON,croydon,MAROONDAH,Maroondah City,Eastern,East & Dandenong Ranges,1,launch,True,-37.79494,145.28405,28.3,Croydon South | Croydon North | Croydon Hills,Ringwood | Mullum Mullum Creek | Lilydale and Belgrave rail corridors,established suburban and infill housing,"Croydon is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Croydon South, Croydon North, Croydon Hills. The broader catchment is shaped by Ringwood, Mullum Mullum Creek, Lilydale and Belgrave rail corridors. The local job mix commonly includes established family homes, units and properties on gently sloping, well-treed streets.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Lilydale,LILYDALE,lilydale,YARRA RANGES,Yarra Ranges Shire,Eastern,East & Dandenong Ranges,1,launch,True,-37.75565,145.36781,36.1,Mount Evelyn | Mooroolbark | Chirnside Park,Yarra Valley | Dandenong Ranges | Warburton Highway corridor,established suburban and infill housing,"Lilydale is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Mount Evelyn, Mooroolbark, Chirnside Park. The broader catchment is shaped by Yarra Valley, Dandenong Ranges, Warburton Highway corridor. The local job mix commonly includes hills homes, weatherboard houses, acreage and established outer-eastern estates.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Ringwood,RINGWOOD,ringwood,MAROONDAH,Maroondah City,Eastern,East & Dandenong Ranges,1,launch,True,-37.81151,145.23341,23.7,Ringwood East | Ringwood North | Heathmont,Ringwood | Mullum Mullum Creek | Lilydale and Belgrave rail corridors,established suburban and infill housing,"Ringwood is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Ringwood East, Ringwood North, Heathmont. The broader catchment is shaped by Ringwood, Mullum Mullum Creek, Lilydale and Belgrave rail corridors. The local job mix commonly includes established family homes, units and properties on gently sloping, well-treed streets.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Rowville,ROWVILLE,rowville,KNOX,Knox City,Eastern,East & Dandenong Ranges,1,launch,True,-37.92436,145.24393,27.6,Scoresby | Knoxfield | Lysterfield,Dandenong Creek | Burwood Highway | Dandenong Ranges foothills,established suburban and infill housing,"Rowville is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Scoresby, Knoxfield, Lysterfield. The broader catchment is shaped by Dandenong Creek, Burwood Highway, Dandenong Ranges foothills. The local job mix commonly includes post-war family homes, split-level houses and townhouse infill near the foothills.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Wantirna,WANTIRNA,wantirna,KNOX,Knox City,Eastern,East & Dandenong Ranges,1,launch,True,-37.85235,145.22588,23.5,Wantirna South | Heathmont | Bayswater,Dandenong Creek | Burwood Highway | Dandenong Ranges foothills,established suburban and infill housing,"Wantirna is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Wantirna South, Heathmont, Bayswater. The broader catchment is shaped by Dandenong Creek, Burwood Highway, Dandenong Ranges foothills. The local job mix commonly includes post-war family homes, split-level houses and townhouse infill near the foothills.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Frankston,FRANKSTON,frankston,FRANKSTON,Frankston City,Southern,Frankston & Mornington Peninsula,1,launch,True,-38.14815,145.14569,40.5,Frankston North | Frankston South | Langwarrin,Frankston city centre | Port Phillip Bay | Peninsula Link,established suburban and infill housing,"Frankston is within the Frankston and Mornington Peninsula catchment between Port Phillip and Western Port, close to Frankston North, Frankston South, Langwarrin. The broader catchment is shaped by Frankston city centre, Port Phillip Bay, Peninsula Link. The local job mix commonly includes established coastal-suburban homes, units and ongoing renovation stock.","Run peninsula days by direction, confirm travel surcharge before booking, and check gated or holiday-property access."
Mornington,MORNINGTON,mornington,MORNINGTON PENINSULA,Mornington Peninsula Shire,Southern,Frankston & Mornington Peninsula,1,launch,True,-38.23028,145.06008,47.1,Mount Eliza | Moorooduc | Mount Martha,Port Phillip and Western Port | Peninsula Freeway | coastal townships,"coastal, township or rural-residential properties","Mornington is within the Frankston and Mornington Peninsula catchment between Port Phillip and Western Port, close to Mount Eliza, Moorooduc, Mount Martha. The broader catchment is shaped by Port Phillip and Western Port, Peninsula Freeway, coastal townships. The local job mix commonly includes coastal homes, holiday properties, acreage and established township housing.","Run peninsula days by direction, confirm travel surcharge before booking, and check gated or holiday-property access."
Rosebud,ROSEBUD,rosebud,MORNINGTON PENINSULA,Mornington Peninsula Shire,Southern,Frankston & Mornington Peninsula,1,launch,True,-38.37372,144.91359,62.4,McCrae | Capel Sound | Boneo,Port Phillip and Western Port | Peninsula Freeway | coastal townships,"coastal, township or rural-residential properties","Rosebud is within the Frankston and Mornington Peninsula catchment between Port Phillip and Western Port, close to McCrae, Capel Sound, Boneo. The broader catchment is shaped by Port Phillip and Western Port, Peninsula Freeway, coastal townships. The local job mix commonly includes coastal homes, holiday properties, acreage and established township housing.","Run peninsula days by direction, confirm travel surcharge before booking, and check gated or holiday-property access."
Balwyn,BALWYN,balwyn,BOROONDARA,Boroondara City,Inner South East,Inner East,1,launch,True,-37.80899,145.08333,10.6,Deepdene | Canterbury | Balwyn North,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Balwyn is within Melbourne's established, well-treed eastern residential belt, close to Deepdene, Canterbury, Balwyn North. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Box Hill,BOX HILL,box-hill,WHITEHORSE,Whitehorse City,Eastern,Inner East,1,launch,True,-37.82151,145.1261,14.3,Mont Albert | Box Hill South | Box Hill North,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Box Hill is within Melbourne's established, well-treed eastern residential belt, close to Mont Albert, Box Hill South, Box Hill North. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Burwood,BURWOOD,burwood,WHITEHORSE,Whitehorse City,Eastern,Inner East,1,launch,True,-37.84959,145.11133,13.6,Box Hill South | Surrey Hills | Blackburn South,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Burwood is within Melbourne's established, well-treed eastern residential belt, close to Box Hill South, Surrey Hills, Blackburn South. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Camberwell,CAMBERWELL,camberwell,BOROONDARA,Boroondara City,Inner South East,Inner East,1,launch,True,-37.83845,145.07362,10.1,Canterbury | Glen Iris | Hawthorn East,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Camberwell is within Melbourne's established, well-treed eastern residential belt, close to Canterbury, Glen Iris, Hawthorn East. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Doncaster,DONCASTER,doncaster,MANNINGHAM,Manningham City,Eastern,Inner East,1,launch,True,-37.78479,145.12409,14.5,Box Hill North | Mont Albert North | Templestowe Lower,Yarra River | Eastern Freeway | Doncaster and Templestowe activity centres,established suburban and infill housing,"Doncaster is within Melbourne's established, well-treed eastern residential belt, close to Box Hill North, Mont Albert North, Templestowe Lower. The broader catchment is shaped by Yarra River, Eastern Freeway, Doncaster and Templestowe activity centres. The local job mix commonly includes larger family homes, sloping blocks and multi-level renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Hawthorn,HAWTHORN,hawthorn,BOROONDARA,Boroondara City,Inner South East,Inner East,1,launch,True,-37.82479,145.03208,6.2,Hawthorn East | Kew | Deepdene,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Hawthorn is within Melbourne's established, well-treed eastern residential belt, close to Hawthorn East, Kew, Deepdene. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Kew,KEW,kew,BOROONDARA,Boroondara City,Inner South East,Inner East,1,launch,True,-37.80341,145.03318,6.3,Kew East | Hawthorn | Deepdene,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Kew is within Melbourne's established, well-treed eastern residential belt, close to Kew East, Hawthorn, Deepdene. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Brunswick,BRUNSWICK,brunswick,MERRI-BEK,Merri-Bek City,Northern,Inner North,1,launch,True,-37.76637,144.96129,5.3,Brunswick East | Brunswick West | Coburg,Sydney Road | Upfield rail corridor | Merri Creek,established suburban and infill housing,"Brunswick is part of Melbourne's established inner-north and north-east suburban belt, close to Brunswick East, Brunswick West, Coburg. The broader catchment is shaped by Sydney Road, Upfield rail corridor, Merri Creek. The local job mix commonly includes period cottages, brick homes and a growing stock of townhouses and apartments.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Coburg,COBURG,coburg,MERRI-BEK,Merri-Bek City,Northern,Inner North,1,launch,True,-37.74486,144.96431,7.6,Coburg North | Pascoe Vale South | Brunswick,Sydney Road | Upfield rail corridor | Merri Creek,established suburban and infill housing,"Coburg is part of Melbourne's established inner-north and north-east suburban belt, close to Coburg North, Pascoe Vale South, Brunswick. The broader catchment is shaped by Sydney Road, Upfield rail corridor, Merri Creek. The local job mix commonly includes period cottages, brick homes and a growing stock of townhouses and apartments.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Northcote,NORTHCOTE,northcote,DAREBIN,Darebin City,Northern,Inner North,1,launch,True,-37.77252,145.00056,5.6,Thornbury | Brunswick East | Alphington,High Street corridor | Darebin Creek | Preston and Reservoir activity centres,established suburban and infill housing,"Northcote is part of Melbourne's established inner-north and north-east suburban belt, close to Thornbury, Brunswick East, Alphington. The broader catchment is shaped by High Street corridor, Darebin Creek, Preston and Reservoir activity centres. The local job mix commonly includes Californian bungalows, post-war brick homes and townhouse infill.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Preston,PRESTON,preston,DAREBIN,Darebin City,Northern,Inner North,1,launch,True,-37.74167,145.00803,8.9,Thornbury | Bellfield | Heidelberg West,High Street corridor | Darebin Creek | Preston and Reservoir activity centres,established suburban and infill housing,"Preston is part of Melbourne's established inner-north and north-east suburban belt, close to Thornbury, Bellfield, Heidelberg West. The broader catchment is shaped by High Street corridor, Darebin Creek, Preston and Reservoir activity centres. The local job mix commonly includes Californian bungalows, post-war brick homes and townhouse infill.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Craigieburn,CRAIGIEBURN,craigieburn,HUME,Hume City,Northern,North & Airport,1,launch,True,-37.58615,144.92736,25.5,Roxburgh Park | Yuroke | Mickleham,"Hume Freeway | Melbourne Airport | Broadmeadows, Craigieburn and Sunbury","growth-area, established suburban or township homes","Craigieburn is within Melbourne's northern corridor, where established suburbs transition to fast-growth and semi-rural areas, close to Roxburgh Park, Yuroke, Mickleham. The broader catchment is shaped by Hume Freeway, Melbourne Airport, Broadmeadows, Craigieburn and Sunbury. The local job mix commonly includes new-estate family homes, established brick houses and airport-adjacent commercial property.",Cluster appointments by corridor; outer and semi-rural addresses need a travel window and driveway/access check.
Epping,EPPING,epping,WHITTLESEA,Whittlesea City,Northern,North & Airport,1,launch,True,-37.63792,145.01046,20.0,Lalor | Thomastown | Wollert,"Plenty Road | Mernda rail corridor | Epping, South Morang and Mernda","growth-area, established suburban or township homes","Epping is within Melbourne's northern corridor, where established suburbs transition to fast-growth and semi-rural areas, close to Lalor, Thomastown, Wollert. The broader catchment is shaped by Plenty Road, Mernda rail corridor, Epping, South Morang and Mernda. The local job mix commonly includes fast-growing estates alongside established post-war suburbs.",Cluster appointments by corridor; outer and semi-rural addresses need a travel window and driveway/access check.
Mernda,MERNDA,mernda,WHITTLESEA,Whittlesea City,Northern,North & Airport,1,launch,True,-37.59165,145.08367,26.9,South Morang | Doreen | Woodstock,"Plenty Road | Mernda rail corridor | Epping, South Morang and Mernda","growth-area, established suburban or township homes","Mernda is within Melbourne's northern corridor, where established suburbs transition to fast-growth and semi-rural areas, close to South Morang, Doreen, Woodstock. The broader catchment is shaped by Plenty Road, Mernda rail corridor, Epping, South Morang and Mernda. The local job mix commonly includes fast-growing estates alongside established post-war suburbs.",Cluster appointments by corridor; outer and semi-rural addresses need a travel window and driveway/access check.
South Morang,SOUTH MORANG,south-morang,WHITTLESEA,Whittlesea City,Northern,North & Airport,1,launch,True,-37.6323,145.0847,22.8,Mill Park | Yarrambat | Mernda,"Plenty Road | Mernda rail corridor | Epping, South Morang and Mernda","growth-area, established suburban or township homes","South Morang is within Melbourne's northern corridor, where established suburbs transition to fast-growth and semi-rural areas, close to Mill Park, Yarrambat, Mernda. The broader catchment is shaped by Plenty Road, Mernda rail corridor, Epping, South Morang and Mernda. The local job mix commonly includes fast-growing estates alongside established post-war suburbs.",Cluster appointments by corridor; outer and semi-rural addresses need a travel window and driveway/access check.
Sunbury,SUNBURY,sunbury,HUME,Hume City,Northern,North & Airport,1,launch,True,-37.54703,144.71509,36.8,Wildwood | Bulla | Oaklands Junction,"Hume Freeway | Melbourne Airport | Broadmeadows, Craigieburn and Sunbury","growth-area, established suburban or township homes","Sunbury is within Melbourne's northern corridor, where established suburbs transition to fast-growth and semi-rural areas, close to Wildwood, Bulla, Oaklands Junction. The broader catchment is shaped by Hume Freeway, Melbourne Airport, Broadmeadows, Craigieburn and Sunbury. The local job mix commonly includes new-estate family homes, established brick houses and airport-adjacent commercial property.",Cluster appointments by corridor; outer and semi-rural addresses need a travel window and driveway/access check.
Wollert,WOLLERT,wollert,WHITTLESEA,Whittlesea City,Northern,North & Airport,1,launch,True,-37.59201,145.00557,24.9,Epping | Donnybrook | Somerton,"Plenty Road | Mernda rail corridor | Epping, South Morang and Mernda","growth-area, established suburban or township homes","Wollert is within Melbourne's northern corridor, where established suburbs transition to fast-growth and semi-rural areas, close to Epping, Donnybrook, Somerton. The broader catchment is shaped by Plenty Road, Mernda rail corridor, Epping, South Morang and Mernda. The local job mix commonly includes fast-growing estates alongside established post-war suburbs.",Cluster appointments by corridor; outer and semi-rural addresses need a travel window and driveway/access check.
